
epoch,acc,loss,val_acc,val_loss
0,0.9900460550215726,0.033951030996245704,0.9956562876175781,0.019821181405993572
1,0.9915283914285563,0.037904543411721496,0.9948073976129234,0.033136567879706084
2,0.9910943788802177,0.04573539774500656,0.9949371607798814,0.032411371192703056
3,0.9908487353504924,0.05175678700401217,0.9944025989700193,0.04088263494592741
4,0.9906460998739066,0.057357886346115695,0.9940893052790689,0.03979528294951268
5,0.9902914882686131,0.06108886383402813,0.9937139732702182,0.044254446429206194
6,0.9901120116550688,0.06486887927539149,0.9939316258589947,0.04777086073442304
7,0.9902201525872553,0.06615035201006611,0.9941332499547263,0.04996157756660182
8,0.9902042310109876,0.06842413127909257,0.9934694408037258,0.04820505580205564
9,0.9899434935786983,0.07052823534086075,0.9938096158850211,0.05185627701172392
10,0.9897193544304258,0.07271010431024767,0.9933779341340405,0.04971148971234767
11,0.9896808950460022,0.07345675822577544,0.9934172258530133,0.05167104616057516
12,0.9894768126032262,0.07370057995273208,0.9931597676871444,0.05362092557214086
13,0.989394724825991,0.07486415763989442,0.9932538581263655,0.053451593903967295
14,0.9893155308875691,0.07543957640400872,0.992704305006449,0.05677268031454939
15,0.9892884442597717,0.07638258778057971,0.9932688529039302,0.05099250042184185
16,0.9890614099588979,0.07651642393537379,0.9934802986683464,0.05400459168211112
17,0.9890066156394456,0.07738590685637961,0.9932430023448148,0.05256106215141615
18,0.988830860962355,0.07635992241196506,0.993213535819722,0.05461807726193868
19,0.9887514611017431,0.07683550497182018,0.9933805207045041,0.052858165933500526
20,0.9887477390300653,0.07658594290725347,0.9933965473420147,0.04677055645152199
21,0.988825070982395,0.07450826480713191,0.9937889382264788,0.04683707258473948
22,0.9889121212530213,0.07452324282853023,0.9938571805710165,0.04646793807168737
23,0.9890746430879,0.07340690346964875,0.9944935874744374,0.041868997148462525
24,0.9892867893686657,0.0739227831603851,0.9945442529287163,0.043924935635127456
25,0.9894460027767772,0.07267334600621439,0.9948983868223806,0.041632488034460784
26,0.989499349152709,0.07127605182964906,0.9947293327985204,0.04240560991815655
27,0.989650911816271,0.07065683782119761,0.9949935127492938,0.04104680733468351
28,0.9895313985510747,0.07062517632587631,0.9947830992838703,0.04059399148400008
29,0.9896560810726763,0.06973577663758912,0.995044176985778,0.04048422689397036
30,0.9896504980656164,0.07018535425056585,0.9952266724675347,0.0389812630540504
31,0.9896205163964091,0.06973526854236577,0.9951196567519608,0.04138239202742426
32,0.9897871735550215,0.0704485588866382,0.9950700260514924,0.040070899982955176
33,0.9897631882545191,0.06905785522136612,0.9952545904640203,0.0399035697433857
34,0.9898254261338127,0.06918201471126387,0.9954231269154871,0.03809888571608049
35,0.9898506523578315,0.06827220868700125,0.9954867162104031,0.03771226623953501
36,0.9899490748457901,0.06845024048617869,0.9951599817697999,0.04095663956932391
37,0.9900818218456127,0.06908755280526388,0.9957193598688799,0.03922604497149702
38,0.9901756955196978,0.06765171192140008,0.9955735696670259,0.0372457250762843
39,0.9901556386533423,0.06769639649879297,0.9955425506010127,0.036279447532965095
